,Headline,Snippet,Lead paragraph,Source,Date
30,"James Silberman, Editor Who Nurtured Literary Careers, Dies at 93","At Random House and elsewhere, including his own Summit imprint, he worked with James Baldwin, Marilyn French, Hunter S. Thompson and many others.","James Silberman, a revered book editor whose meticulousness, intuition and patience helped propel the publishing careers of a distinguished roster of authors, including James Baldwin, Marilyn French, Hunter S. Thompson and Alvin Toffler, died on July 26 at his home in Manhattan. He was 93.",The New York Times,2020-08-01 18:32:40+00:00
31,Why the Botched N.Y.C. Primary Has Become the November Nightmare,"Nearly six weeks later, two congressional races remain undecided, and officials are trading blame over the mishandling of tens of thousands of mail-in ballots.","Election officials in New York City widely distributed mail-in ballots for the primary on June 23, which featured dozens of hard-fought races. The officials had hoped to make voting much easier, but they did not seem prepared for the response: more than 10 times the number of absentee ballots received in recent elections in the city.",The New York Times,2020-08-03 07:00:08+00:00
32,"Italy Draws a Line Under Genoa Tragedy, Shunting Aside the Benettons",The government has leveraged anger over the collapse of Genoa’s Morandi Bridge to take back control of the nation’s highways. But critics say the deal sends a troubling message to investors.,"ROME — Less than two years after the collapse of the Morandi Bridge in Genoa killed 43 people, Italy will draw a line under the tragedy on Monday when it inaugurates a replacement. But that public celebration has been accompanied by a behind-the-scenes deal that will reshape the running of Italy’s highways as it exacts retribution on the former bridge’s managers.",The New York Times,2020-08-01 12:49:39+00:00
33,Microsoft Can Save TikTok — if Trump Doesn’t Mess It Up,"Microsoft wants to buy the Chinese app, and the administration needs to get out of the way.","Yes, President Trump can ban TikTok in the United States. The problem? This won’t actually stop the digital deluge from China.",The New York Times,2020-08-03 02:53:47+00:00
34,"Lady Red Couture, ‘Mother Hen’ of a Drag Scene, Dies at 43","A fixture in Los Angeles clubs who stood 7-foot-2 in heels, she also co-hosted the L.G.B.T.Q. talk show “Hey Qween!”","Lady Red Couture, a comedian, singer and talk-show host who called herself “the largest live-singing drag queen in captivity,” and who became a mentor to younger drag performers, died on July 25 in Los Angeles. She was 43.",The New York Times,2020-08-01 22:47:09+00:00
35,Driving Across the Globe to Fight Child Trafficking,"Renée Brinkerhoff has been on a quest, on almost every continent, to use racing “as a platform to do something about” a global scourge. Next stop, Antarctica.",It wasn’t until Renée Brinkerhoff’s last of four children departed for college that her life changed forever.,The New York Times,2020-08-02 10:00:10+00:00
36,"Guyana Swears In New Leader, Resolving Struggle Over Oil Wealth","Mohamed Irfaan Ali will manage the flow of billions in new oil revenues, which are reshaping the small South American country and heightened a standoff after elections in March.","GEORGETOWN, Guyana — Guyana’s opposition party has won a bitterly contested general election, ending a prolonged political standoff that had crippled investment and heightened ethnic tensions in the small South American nation.",The New York Times,2020-08-02 22:11:28+00:00
37,Selfishness in American Society Today,"Readers, responding to a column by Paul Krugman, discuss whether selfishness crosses party lines.",,The New York Times,2020-08-03 18:11:09+00:00
38,Militants Attack Afghan Prison as Brief Cease-Fire Expires,The Islamic State reportedly took responsibility for an assault at a time when releasing insurgents from prisons has become a major issue in the Afghan peace process.,"JALALABAD, Afghanistan — Militants attacked a major prison in eastern Afghanistan on Sunday, detonating a car bomb and waging a gun battle against guards for hours, as dozens of inmates managed to escape, Afghan officials said.",The New York Times,2020-08-02 19:35:14+00:00
39,The Good News About What Human Genius Can Still Do,There’s something uniquely compelling about our need to learn what we can about the universe.,"We may never solve the puzzle of Stonehenge, and, if we do, it probably won’t change our lives. Nor will much change if the latest American robot zooming toward Mars discovers that eons ago microorganisms swam in long vanished lakes. Yet how gloriously enthralling the search!",The New York Times,2020-08-03 23:30:41+00:00
